artist,song,duration,type,genre
Ludovico Einaudi,Nuvole Bianche,9939,Instrumental,Neo-classical
Taylor Swift,Enchanted,8423,Vocal,US-UK
Taylor Swift,Sparks Fly,6485,Vocal,US-UK
Taylor Swift,Everything Has Changed,3942,Vocal,US-UK
Taylor Swift,Begin Again,3404,Vocal,US-UK
Sơn Tùng M-TP,Nơi Này Có Anh,3233,Vocal,V-pop
Taylor Swift,Treacherous,2788,Vocal,US-UK
Taylor Swift,I Almost Do,2493,Vocal,US-UK
Taylor Swift,Back To December,2453,Vocal,US-UK
Taylor Swift,If This Was A Movie,2434,Vocal,US-UK
Taylor Swift,Fearless,1970,Vocal,US-UK
Taylor Swift,Love Story,1965,Vocal,US-UK
Taylor Swift,Red,1843,Vocal,US-UK
Ludovico Einaudi,Oltremare,1761,Instrumental,Neo-classical
Taylor Swift,Come Back...Be Here,1728,Vocal,US-UK
Taylor Swift,State Of Grace,1694,Vocal,US-UK
James Horner,The Portrait,1658,Instrumental,Neo-classical
Taylor Swift,All Too Well,1639,Vocal,US-UK
Taylor Swift,You Belong With Me,1634,Vocal,US-UK
Taylor Swift,Mine,1628,Vocal,US-UK
Ludovico Einaudi,Nuvole bianche,1608,Instrumental,Neo-classical
Taylor Swift,Speak Now,1558,Vocal,US-UK
Sơn Tùng M-TP,Chắc Ai Đó Sẽ Về,1536,Vocal,V-pop
Andiez,Suýt Nữa Thì...,1494,Vocal,V-pop
Taylor Swift,Innocent,1432,Vocal,US-UK
Sơn Tùng M-TP,Âm Thầm Bên Em,1402,Vocal,V-pop
Taylor Swift,The Moment I Knew,1365,Vocal,US-UK
Ludovico Einaudi,Primavera,1350,Instrumental,Neo-classical
Ludovico Einaudi,Ancora,1333,Instrumental,Neo-classical
Taylor Swift,You're Not Sorry,1243,Vocal,US-UK
Rousseau,Nuvole Bianche,1224,Instrumental,Neo-classical
Taylor Swift,Breathe,1135,Vocal,US-UK
JustaTee,2AM,1119,Vocal,V-pop
Phương Ly,Mặt Trời Của Em,1115,Vocal,V-pop
Ludovico Einaudi,I Giorni,1112,Instrumental,Neo-classical
Taylor Swift,Girl At Home,1112,Vocal,US-UK
Taylor Swift,Sad Beautiful Tragic,1077,Vocal,US-UK
Andiez,1 Phút,1069,Vocal,V-pop
Ludovico Einaudi,Experience,992,Instrumental,Neo-classical
Yiruma,River Flows In You,976,Instrumental,Neo-classical
JustaTee,Thằng Điên,968,Vocal,V-pop
Taylor Swift,The Way I Loved You,964,Vocal,US-UK
Taylor Swift,Jump Then Fall,948,Vocal,US-UK
Taylor Swift,Tim McGraw,947,Vocal,US-UK
Taylor Swift,The Other Side Of The Door,924,Vocal,US-UK
Yann Tiersen,"Comptine d'un autre été, l'après-midi",897,Instrumental,Classical
Ludovico Einaudi,Divenire,883,Instrumental,Neo-classical
Ludovico Einaudi,Le Onde,819,Instrumental,Neo-classical
Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,795,Vocal,V-pop
Taylor Swift,Forever & Always,778,Vocal,US-UK
Sơn Tùng M-TP,Đừng Làm Trái Tim Anh Đau,770,Vocal,V-pop
Ludovico Einaudi,Night,717,Instrumental,Neo-classical
Christina Perri,a thousand years,713,Vocal,US-UK
Ludovico Einaudi,Una Mattina,671,Instrumental,Neo-classical
Zac Efron,Rewrite The Stars,650,Vocal,US-UK
Ludwig van Beethoven,Moonlight Sonata,636,Instrumental,Classical
Justin Bieber,As Long As You Love Me,625,Vocal,US-UK
Ludovico Einaudi,Fly,617,Instrumental,Neo-classical
Charlie Puth,One Call Away,616,Vocal,US-UK
Taylor Swift,Haunted,601,Vocal,US-UK
JustaTee,Đã Lỡ Yêu Em Nhiều,596,Vocal,V-pop
Rhymastic,Yêu 5,592,Vocal,V-pop
Taylor Swift,The Lucky One,592,Vocal,US-UK
Johann Pachelbel,Cannon in D - Piano,592,Instrumental,Classical
Yann Tiersen,La Valse d'Amélie - Version piano,579,Instrumental,Classical
Richard Clayderman,Mariage D Amour,562,Instrumental,Neo-classical
Charmy Pham,Em Gái Mưa,535,Vocal,V-pop
