timestamp_start,timestamp_end,most_played_artist,most_played_song,artist_duration,song_duration,most_played_artist_original,most_played_song_original,song_y,song_y0,song_y1,artist_y,artist_y0,artist_y1,song_color,artist_color
2019-07-01,2019-08-01,Taylor Swift,Everything Has Changed,1041,515,Taylor Swift,Everything Has Changed,5.0,4.8,5.2,4.5,4.3,4.7,"rgb(128, 186, 90)","rgb(127, 60, 141)"
2019-08-01,2019-09-01,Taylor Swift,Everything Has Changed,602,192,Taylor Swift,Everything Has Changed,5.0,4.8,5.2,4.5,4.3,4.7,"rgb(128, 186, 90)","rgb(127, 60, 141)"
2019-09-01,2019-10-01,Taylor Swift,13 Others,239,84,Taylor Swift,Perfect,4.5,4.3,4.7,4.5,4.3,4.7,"rgb(17, 165, 121)","rgb(127, 60, 141)"
2019-10-01,2019-11-01,Ed Sheeran,13 Others,166,85,Ed Sheeran,a thousand years,4.5,4.3,4.7,4.0,3.8,4.2,"rgb(17, 165, 121)","rgb(242, 183, 1)"
2019-11-01,2019-12-01,Taylor Swift,13 Others,1032,164,Taylor Swift,One Call Away,4.5,4.3,4.7,4.5,4.3,4.7,"rgb(17, 165, 121)","rgb(127, 60, 141)"
2019-12-01,2020-01-01,Taylor Swift,Sparks Fly,1483,218,Taylor Swift,Sparks Fly,4.0,3.8,4.2,4.5,4.3,4.7,"rgb(242, 183, 1)","rgb(127, 60, 141)"
2020-01-01,2020-02-01,Taylor Swift,Sparks Fly,1606,291,Taylor Swift,Sparks Fly,4.0,3.8,4.2,4.5,4.3,4.7,"rgb(242, 183, 1)","rgb(127, 60, 141)"
2020-02-01,2020-03-01,Taylor Swift,Sparks Fly,3869,790,Taylor Swift,Sparks Fly,4.0,3.8,4.2,4.5,4.3,4.7,"rgb(242, 183, 1)","rgb(127, 60, 141)"
2020-03-01,2020-04-01,Taylor Swift,Sparks Fly,3977,674,Taylor Swift,Sparks Fly,4.0,3.8,4.2,4.5,4.3,4.7,"rgb(242, 183, 1)","rgb(127, 60, 141)"
2020-04-01,2020-05-01,Taylor Swift,13 Others,6082,516,Taylor Swift,Treacherous,4.5,4.3,4.7,4.5,4.3,4.7,"rgb(17, 165, 121)","rgb(127, 60, 141)"
2020-05-01,2020-06-01,Taylor Swift,13 Others,2420,277,Taylor Swift,If This Was A Movie,4.5,4.3,4.7,4.5,4.3,4.7,"rgb(17, 165, 121)","rgb(127, 60, 141)"
2020-06-01,2020-07-01,Taylor Swift,Nuvole Bianche,1431,988,Taylor Swift,Nuvole Bianche,3.5,3.3,3.7,4.5,4.3,4.7,"rgb(127, 60, 141)","rgb(127, 60, 141)"
