timestamp_start,timestamp_end,most_played_artist,most_played_song,artist_duration,song_duration
7/5/2019,7/12/2019,16 Others,61 Others,69,50
7/12/2019,7/19/2019,Taylor Swift,61 Others,189,95
7/19/2019,7/26/2019,Taylor Swift,61 Others,653,354
7/26/2019,8/2/2019,Taylor Swift,61 Others,201,127
8/2/2019,8/9/2019,Taylor Swift,61 Others,265,95
8/9/2019,8/16/2019,Taylor Swift,61 Others,160,70
8/16/2019,8/23/2019,Taylor Swift,61 Others,122,41
8/23/2019,8/30/2019,Taylor Swift,61 Others,50,13
8/30/2019,9/6/2019,Taylor Swift,61 Others,37,17
9/6/2019,9/13/2019,Taylor Swift,61 Others,71,27
9/13/2019,9/20/2019,Taylor Swift,As Long As You Love Me,33,15
9/20/2019,9/27/2019,16 Others,61 Others,68,22
9/27/2019,10/4/2019,16 Others,61 Others,81,35
10/4/2019,10/11/2019,Taylor Swift,61 Others,33,19
10/11/2019,10/18/2019,Taylor Swift,As Long As You Love Me,26,15
10/18/2019,10/25/2019,16 Others,61 Others,80,33
10/25/2019,11/1/2019,16 Others,61 Others,46,23
11/1/2019,11/8/2019,Taylor Swift,As Long As You Love Me,76,42
11/8/2019,11/15/2019,16 Others,61 Others,139,128
11/15/2019,11/22/2019,Taylor Swift,61 Others,57,27
11/22/2019,11/29/2019,Taylor Swift,61 Others,706,63
11/29/2019,12/6/2019,Taylor Swift,61 Others,544,43
12/6/2019,12/13/2019,Taylor Swift,61 Others,397,90
12/13/2019,12/20/2019,Taylor Swift,61 Others,113,14
12/20/2019,12/27/2019,Taylor Swift,Sparks Fly,276,100
12/27/2019,1/3/2020,Taylor Swift,Sparks Fly,496,91
1/3/2020,1/10/2020,Taylor Swift,Sparks Fly,380,143
1/10/2020,1/17/2020,Taylor Swift,Enchanted,238,23
1/17/2020,1/24/2020,Taylor Swift,As Long As You Love Me,486,127
1/24/2020,1/31/2020,Taylor Swift,Enchanted,203,72
1/31/2020,2/7/2020,Taylor Swift,61 Others,608,137
2/7/2020,2/14/2020,Taylor Swift,Sparks Fly,621,87
2/14/2020,2/21/2020,Taylor Swift,Sparks Fly,1036,321
2/21/2020,2/28/2020,Taylor Swift,Sparks Fly,1455,312
2/28/2020,3/6/2020,Taylor Swift,Sparks Fly,1078,239
3/6/2020,3/13/2020,Taylor Swift,Sparks Fly,927,234
3/13/2020,3/20/2020,Taylor Swift,Enchanted,909,242
3/20/2020,3/27/2020,Taylor Swift,61 Others,586,81
3/27/2020,4/3/2020,Taylor Swift,Sparks Fly,1119,152
4/3/2020,4/10/2020,Taylor Swift,61 Others,2015,203
