parent,child,n_songs,duration,scale
,Top Albums,279,94836,0
Top Albums,AMEE,5,14,1
Top Albums,Alan Walker,5,450,2
Top Albums,Ariana Grande,23,324,2
Top Albums,Christina Perri,5,59,1
Top Albums,Ed Sheeran,5,145,2
Top Albums,Katy Perry,5,247,2
Top Albums,Lana Del Rey,11,1216,3
Top Albums,Ludovico Einaudi,59,20144,4
Top Albums,Post Malone,15,269,2
Top Albums,Sơn Tùng M-TP,7,7118,3
Top Albums,Taylor Swift,130,64685,4
Top Albums,Wolfgang Amadeus Mozart,9,165,2
Taylor Swift,Speak Now,20,26647,4
Taylor Swift,Red,21,24946,4
Ludovico Einaudi,Una Mattina,13,12452,4
Taylor Swift,Fearless,26,11724,4
Sơn Tùng M-TP,m-tp M-TP,7,7118,3
Ludovico Einaudi,Divenire,10,4650,3
Ludovico Einaudi,In A Time Lapse,7,2562,3
Lana Del Rey,Born To Die - The Paradise Edition,6,1136,3
Taylor Swift,1989,16,838,2
Alan Walker,Different World,5,450,2
Ludovico Einaudi,Underwater,12,377,2
Taylor Swift,Lover,9,342,2
Post Malone,Hollywood's Bleeding,15,269,2
Katy Perry,Teenage Dream: The Complete Confection,5,247,2
Ariana Grande,Sweetener,8,198,2
Wolfgang Amadeus Mozart,Piano Book,9,165,2
Ed Sheeran,No.6 Collaborations Project,5,145,2
Ariana Grande,"thank u, next",9,124,2
Taylor Swift,reputation Stadium Tour Surprise Song Playlist,12,116,2
Lana Del Rey,Ultraviolence,5,80,1
Ludovico Einaudi,Music of Care,10,73,1
Taylor Swift,folklore,16,70,1
Christina Perri,lovestrong.,5,59,1
Ludovico Einaudi,Cinema,7,30,1
AMEE,dreAMEE,5,14,1
Taylor Swift,Midnights,10,2,0
Ariana Grande,k bye for now,6,2,0
