duration,x,y,text,n_weeks,measure
2619,2019-07-01,2619,+2619,1,total
1944,2019-08-01,-675,-675,1,relative
1408,2019-09-01,-536,-536,2,relative
1310,2019-10-01,-98,-98,3,relative
2467,2019-11-01,1157,+1157,4,relative
2228,2019-12-01,-239,-239,5,relative
1901,2020-01-01,-327,-327,6,total
3959,2020-02-01,2058,+2058,7,relative
4499,2020-03-01,540,+540,8,relative
6126,2020-04-01,1627,+1627,9,relative
3785,2020-05-01,-2341,-2341,10,relative
4728,2020-06-01,943,+943,11,relative
3716,2020-07-01,-1012,-1012,12,relative
3498,2020-08-01,-218,-218,13,relative
1821,2020-09-01,-1677,-1677,14,relative
1200,2020-10-01,-621,-621,15,relative
936,2020-11-01,-264,-264,16,relative
2918,2020-12-01,1982,+1982,17,relative
1424,2021-01-01,-1494,-1494,18,total
1867,2021-02-01,443,+443,19,relative
1703,2021-03-01,-164,-164,20,relative
1601,2021-04-01,-102,-102,21,relative
1349,2021-05-01,-252,-252,22,relative
1409,2021-06-01,60,+60,23,relative
1025,2021-07-01,-384,-384,24,relative
837,2021-08-01,-188,-188,25,relative
1278,2021-09-01,441,+441,26,relative
4474,2021-10-01,3196,+3196,27,relative
3608,2021-11-01,-866,-866,28,relative
1840,2021-12-01,-1768,-1768,29,relative
1228,2022-01-01,-612,-612,30,total
2422,2022-02-01,1194,+1194,31,relative
1944,2022-03-01,-478,-478,32,relative
1526,2022-04-01,-418,-418,33,relative
656,2022-05-01,-870,-870,34,relative
2075,2022-06-01,1419,+1419,35,relative
3864,2022-07-01,1789,+1789,36,relative
7161,2022-08-01,3297,+3297,37,relative
7749,2022-09-01,588,+588,38,relative
2581,2022-10-01,-5168,-5168,39,relative
1281,2022-11-01,-1300,-1300,40,relative
859,2022-12-01,-422,-422,41,relative
874,2023-01-01,15,+15,42,total
1887,2023-02-01,1013,+1013,43,relative
1459,2023-03-01,-428,-428,44,relative
2321,2023-04-01,862,+862,45,relative
2056,2023-05-01,-265,-265,46,relative
336,2023-06-01,-1720,-1720,47,relative
1210,2023-07-01,874,+874,48,relative
1091,2023-08-01,-119,-119,49,relative
846,2023-09-01,-245,-245,50,relative
1522,2023-10-01,676,+676,51,relative
3512,2023-11-01,1990,+1990,52,relative
2167,2023-12-01,-1345,-1345,53,relative
1616,2024-01-01,-551,-551,54,total
1363,2024-02-01,-253,-253,55,relative
4282,2024-03-01,2919,+2919,56,relative
5608,2024-04-01,1326,+1326,57,relative
9611,2024-05-01,4003,+4003,58,relative
7072,2024-06-01,-2539,-2539,59,relative
2278,2024-07-01,-4794,-4794,60,relative
4978,2024-08-01,2700,+2700,61,relative
511,2024-09-01,-4467,-4467,63,total
