n,most_played,mins,fav_10,RS_ranked,RS_top_10
1,Enchanted,8423,Sparks Fly,50,All Too Well
2,Sparks Fly,6485,Enchanted,16,New Romantics
3,Everything Has Changed,3942,Begin Again,42,mirrorball
4,Begin Again,3400,If This Was A Movie,218,Delicate
5,Treacherous,2715,Treacherous,63,august
6,I Almost Do,2493,I'd Lie,207,Long Live
7,Back To December,2453,I Almost Do,117,Lover
8,If This Was A Movie,2434,Everything Has Changed,130,Blank Space
9,Love Story,1965,Fearless,41,majorie
10,Fearless,1962,Superman,220,Dear John
